catalog_release,demo_id,name,payload_sha256,payload_permission_evidence,artwork_permission_evidence,source_delivery_evidence,status,review_note
26R2-catalog-2,need-for-speed-hot-pursuit-2,Need for Speed: Hot Pursuit 2 demo (2002),875d57dbeb971669f5e76d597dc03432b2097862e63e4f31280427a0f84e7301,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,netsurf-3-10,NetSurf 3.10 (2020),2aa12eb57198aff9a216e764b9c8b7956ca98cd6f5544a491d228849094dae6d,,,,pending,"Check exact code license and corresponding source separately from assets, fonts, game data, and icon rights."
26R2-catalog-2,nitemare-3d,Nitemare 3D (1994),204c8385a0b1c7c1e42af151a937d627910aa822b9d7a3361c8b89045738cee2,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,norse-by-norse-west,Norse By Norse West (1997),3e4fd6c3e8b66cc52212783d01ad632f1fb023f51fd3b93f0ea347efd1a8b6fe,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,rollercoaster-tycoon,RollerCoaster Tycoon demo (1999),057066729e835c1840a051daf12295f25e05ed8a5bdd64cf79e46373ce42357a,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,spherejongg,Spherejongg (1995),6d3fc133537dba0f59f7653926cab4b8ba607c639ba88719f07acf8b83028721,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,thief,Thief demo (1998),d46a7d82fcf95271595387b3a4b3607968d5403b17654555731bf6aa91d7aeef,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,tomb-raider-3,Tomb Raider 3 demo (1998),7287cb147a3f8e08f743bc2e465202d2ba5319f3cc9b88bf5d868330f28c2dcf,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,vkquake,vkQuake (1996),4ea2a4e464a72f2673e0f60392d9b8356d1c66aa3c96fbdc8252ee99be95409e,,,,pending,"Check exact code license and corresponding source separately from assets, fonts, game data, and icon rights."
26R2-catalog-2,winroids,WinRoids (1994),81e7e66a579e60b703244f65d6aa8be0a8480374979a91478316d3d661f475fa,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,wintrek,WinTrek (1992),bd1947fc74d4a54f40cb3091933fdd49a6b705cf80ab8b33f39867c7bbfea9be,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
